	gene_expression	copy_number
EXT1	6.204571144249203	1.0667140814079117
SOCS1	1.752748591407134	1.0761093715660588
SS18L1	4.354028938054387	1.1032881586268024
TERT	0.7136958148433591	1.2264226338899815
FANCD2	5.677790101216656	0.9326175095648256
HOXC13	3.6599245584023774	0.8919464380454625
CCND3	5.61882595258744	0.8825412305965294
MAFB	1.1309308698264486	1.1032881586268024
EED	5.858478390423273	1.0776130364623286
CD74	1.1176950426697545	0.9746752499889948
VHL	5.819157223674968	0.9326175095648256
CYSLTR2	0.0	0.6498067099397717
BCR	5.780835001738229	1.074607644554611
IL7R	0.2630344058337938	1.4127263649322264
HOOK3	3.058316495590823	0.8825512975926235
PREX2	0.0	0.8825512975926235
CBFA2T3	2.3950627995175777	1.0956245490193437
PRKACA	5.61970645004589	0.9072906286796634
TSC1	4.821199978056451	0.8899749104263682
PAFAH1B2	5.44028782084042	0.8634475368420382
KMT2C	5.083638879250706	1.079243995816352
PTPRK	5.024142345897803	0.9964554909639496
BCL2	0.6135316529179271	0.8899790538218186
CPEB3	0.963474123974886	0.8860266284070896
FH	6.690696443977697	1.2390631137748875
CIC	5.40735275114004	0.9072906286796634
ETV4	6.221877081077034	1.0873167294171062
NKX2-1	0.0	1.086055216148038
MSH6	3.0250287944915226	0.8885899571941669
RARA	4.575312330687437	1.0873167294171062
EPAS1	3.321928094887362	0.8885899571941669
BRAF	4.02768487693716	1.079243995816352
IRF4	0.2016338611696504	1.0723618969557365
FAM135B	0.0	1.0667140814079117
SDHC	7.716030606699041	1.0725774646843234
ERBB2	5.645298163948631	1.0873167294171062
CNBD1	0.0	1.0667140814079117
PRKAR1A	6.84987419379562	1.0873167294171062
NF1	4.848497755385146	1.0873167294171062
RBM10	5.46401472450489	0.650241986456547
RHOA	8.777123781442976	0.9326175095648256
KNSTRN	6.299757511839318	0.8953906750826609
SLC45A3	4.583759753639499	1.2390631137748875
BARD1	3.881664619320345	0.8840109771844922
PRDM16	0.01435529297707	1.0781856311725375
CRNKL1	3.2479275134435857	0.6539606348288319
CCR7	0.0976107966264223	1.0873167294171062
RET	0.0	0.8912655613894835
ZNF429	2.967168607532628	0.9072906286796634
ZMYM2	4.224194663970433	0.6466834998007092
CTCF	5.313245851787562	1.0956245490193437
CD274	2.3950627995175777	1.082529890179088
ITK	0.0	0.9746752499889948
LEF1	4.420886574975532	0.8774639327913532
STAT3	6.059614856297222	1.0873167294171062
MTOR	5.475733430966398	1.0781856311725375
GMPS	6.420886574975532	1.139787534184846
CBLC	5.197708157955851	0.9072906286796634
MUTYH	3.9411063109464313	1.076228708511783
BCL9L	5.342696959981934	0.8634475368420382
MAP2K2	6.380244590478185	0.9072906286796634
HNF1A	0.1634987322828795	0.8919464380454625
CYLD	5.349436051713823	1.1010109580471732
RNF213	5.388878338811989	0.940428096299813
PML	4.517905553529951	0.8903658321340325
CUL3	5.800899899920305	0.8840109771844922
RAD17	4.890933021705543	1.0934976637307856
FKBP9	6.372603915204483	1.073944980012242
EML4	5.175125349657719	0.8885899571941669
BRD4	5.757823336207727	0.9072906286796634
DEK	7.588714635582264	1.0723618969557365
PAX8	1.622930350920177	1.078494117125612
BRIP1	4.128458384146928	1.0873167294171062
STAT5B	5.290571850852079	1.0873167294171062
TSHR	0.0	1.0861440825870718
JAK2	2.6848187375532224	1.082529890179088
FIP1L1	6.099926350556032	0.8837759734217541
BMPR1A	4.504620392403552	0.8860266284070896
HMGA1	7.71699089440494	0.8825412305965294
MAP3K1	4.520422248526446	1.0934976637307856
AXIN2	7.37695017094954	1.0873167294171062
KAT6A	4.039138393906958	0.8825512975926235
SALL4	0.1634987322828795	1.1032881586268024
FGFR1	7.043628850876431	0.8825512975926235
PPP6C	4.619999829821357	0.8899749104263682
TFE3	5.769507291436245	0.650241986456547
LRIG3	3.073820233291672	0.8919464380454625
NFKB2	5.8755343515732354	0.8860266284070896
TEC	2.422233000683048	0.8837759734217541
ELF3	4.332707933640605	1.2390631137748875
EPS15	4.649040565634448	1.076228708511783
USP6	0.2141248053528473	1.2065567773442212
ARHGEF10	5.389566811762726	0.6533489213278963
ATIC	6.629648044187436	0.8840109771844922
HIF1A	6.242221395098369	1.0861440825870718
SRSF3	8.964831791577796	0.8825412305965294
ARHGAP5	5.417177411906387	1.086055216148038
RPL22	8.95399268986319	1.0781856311725375
TFPT	4.476381687567235	0.9072906286796634
PDCD1LG2	0.0976107966264223	1.082529890179088
GNAS	10.147332141118044	1.1032881586268024
CEP89	3.982765462583646	0.9072906286796634
ARID1B	5.627315001365048	1.2296686973891005
PLAG1	0.5360529002402097	0.8825512975926235
RAC1	8.217666949164846	1.073944980012242
HOXA11	2.333423733725192	1.073944980012242
RANBP17	3.408711861029429	0.9746752499889948
STAG1	5.328405658958567	0.9326175095648256
GRM3	0.0	1.0921453395365754
SPECC1	5.66760832567372	1.0873167294171062
NBN	5.031659854308054	1.0667140814079117
NFIB	5.095080491901415	1.082529890179088
USP44	0.1890338243900171	0.8919464380454625
SLC34A2	0.1110313123887439	0.8837759734217541
ARID1A	5.73308313184512	1.076228708511783
COX6C	8.709325103369745	1.0667140814079117
EP300	5.062208077560245	1.0727495202217736
SUZ12	4.894817763307944	1.0873167294171062
TPM3	9.606201610833944	1.076228708511783
ID3	9.592998880531685	1.076228708511783
FOXL2	0.0	0.9326175095648256
BIRC3	4.694323060125386	1.0579043293414234
LATS1	4.551516017628014	1.2296686973891005
HMGA2	6.57924050057297	0.8919464380454625
ZNRF3	4.4202128906107845	1.0727495202217736
MDM2	6.515857501257905	0.8919464380454625
DDX5	8.520736526937641	1.0873167294171062
ASXL2	3.912649864897204	0.8885899571941669
EIF1AX	5.298658315564516	0.3638237418828319
ELF4	5.073391816052921	0.650241986456547
STK11	5.740657771623893	0.9072906286796634
MYC	7.137605984247893	1.0667140814079117
PBRM1	4.545968369105292	0.9326175095648256
NCKIPSD	4.845490050944375	0.9326175095648256
PAX7	0.0	1.076228708511783
BAZ1A	5.559797695754872	1.086055216148038
HOXD13	0.0	1.062975692376039
CLIP1	5.568640195419223	0.8919464380454625
BCL7A	3.682573297347578	0.8919464380454625
STAT6	4.757556688939453	0.8919464380454625
CHCHD7	5.237640195035385	0.8825512975926235
RGS7	0.070389327891398	1.2390631137748875
SKI	5.148934104526339	1.0781856311725375
JAK3	1.925999418556223	0.9072906286796634
MDS2	0.01435529297707	1.076228708511783
ACKR3	0.0426443374084937	0.8840109771844922
RUNX1T1	0.0565835283663675	1.0667140814079117
CDKN1B	5.203201156316611	0.8919464380454625
CNBP	8.136222153170195	0.9326175095648256
ATRX	5.41006969175638	0.650241986456547
ELL	3.988230223060457	0.9072906286796634
CLTCL1	3.389566811762726	1.074607644554611
FLT3	0.0	0.6466834998007092
FBXW7	4.563768278452033	0.8774639327913532
FGFR2	3.926948247949772	0.8860266284070896
LARP4B	5.502394256111261	0.8912655613894835
FAT3	0.0	1.0776130364623286
HLF	1.1043366598147355	1.0873167294171062
VTI1A	3.997292407636508	0.8860266284070896
PAX3	0.0	0.8840109771844922
FAM47C	0.0	0.650241986456547
SDHAF2	6.279842693520348	1.080176039575489
ZNF479	0.0	1.0921453395365754
MLH1	3.8186460828225393	0.9326175095648256
MYOD1	0.0	1.0824591665372056
XPA	4.121844297876376	0.8846520850332174
HOXD11	0.0	1.062975692376039
PRRX1	0.4436066514756146	1.0725774646843234
DNMT3A	2.521050736900963	0.8885899571941669
STIL	4.6904170955324656	1.076228708511783
SH2B3	3.743084055549586	0.8919464380454625
TCF3	7.44086916761087	0.9072906286796634
KIF5B	6.147103143924099	0.8912655613894835
KRAS	4.239550796613645	0.8919464380454625
CD79A	0.5849625007211562	0.9072906286796634
KIT	0.01435529297707	0.8837759734217541
ZNF331	3.39231742277876	0.9072906286796634
TLX1	0.0565835283663675	0.8860266284070896
ASPSCR1	4.857483428286672	0.940428096299813
TRRAP	5.02724253597374	1.079243995816352
DROSHA	6.6895787255093255	1.4127263649322264
HOXA9	0.963474123974886	1.073944980012242
WWTR1	5.223422549934937	0.9326175095648256
ERCC5	3.873813198359087	0.6498067099397717
TFG	6.642268351758643	0.9326175095648256
BAP1	6.001126665454284	0.9326175095648256
MAPK1	5.92552476974757	1.074607644554611
CEBPA	1.6959938131099002	0.9072906286796634
FOXP1	3.439623137557117	0.9326175095648256
MITF	3.423578170981797	0.9326175095648256
MUC4	0.4541758931858021	1.295576549891408
PCSK7	5.1626934322112366	0.8634475368420382
OMD	0.01435529297707	0.8846520850332174
FCRL4	0.0	1.0725774646843234
POLD1	5.752481004456373	0.9072906286796634
NF2	7.42777376237852	1.0727495202217736
EZR	8.10522758436473	1.2296686973891005
TOP1	6.470862199413702	1.1032881586268024
SMAD3	5.296824458649369	0.8903658321340325
FLNA	10.116473927909407	0.7655710534749189
COL3A1	1.2868811477881614	1.062975692376039
CTNNA2	0.0285691521967709	0.8885899571941669
CDC73	6.200653436367468	1.2390631137748875
NFKBIE	4.71259578044703	0.8825412305965294
ETV5	5.983221650742669	1.295576549891408
MNX1	3.8063240573900288	1.079243995816352
FANCA	6.163096138436012	1.0956245490193437
RB1	3.748461233004035	0.6498067099397717
AR	0.01435529297707	0.650241986456547
PTPRD	0.0285691521967709	1.082529890179088
BCL2L12	6.79428588796893	0.9072906286796634
MYCN	0.2016338611696504	0.8885899571941669
NBEA	2.4672794804599825	0.6466834998007092
LATS2	3.507160349117523	0.6466834998007092
APOBEC3B	5.449891473010944	1.0727495202217736
ARHGEF12	5.118110505607367	0.8634475368420382
CARD11	0.0285691521967709	1.073944980012242
LMO2	0.2141248053528473	1.0824591665372056
ATR	3.6758159311722696	0.9326175095648256
CDKN2C	4.560103513464738	1.076228708511783
LIFR	3.527320607877047	1.5575913210556949
PTPRT	0.01435529297707	1.1032881586268024
DAXX	6.446917864866026	0.8825412305965294
TBL1XR1	6.705286790272472	1.295576549891408
MLLT11	1.097610796626422	1.076228708511783
PMS2	3.824767853143294	1.073944980012242
ERBB3	4.713145902490259	0.8919464380454625
LCK	0.2868811477881615	1.076228708511783
CSF3R	0.0285691521967709	1.076228708511783
HOXC11	0.0	0.8919464380454625
FANCE	3.838951766951943	0.8825412305965294
CCR4	0.070389327891398	0.9326175095648256
N4BP2	1.2690331464552371	0.8837759734217541
RUNX1	6.198297694860147	0.8720499228278542
LASP1	7.237926946626263	1.0873167294171062
QKI	6.202809492125013	1.2296686973891005
SRC	5.902797157880231	1.1032881586268024
TFEB	2.636914580355878	0.8825412305965294
MSI2	5.933808661990121	1.0873167294171062
RGPD3	0.2986583155645151	1.078494117125612
BCLAF1	6.844611621370311	1.2296686973891005
SPOP	5.486714373030702	1.0873167294171062
SND1	6.844737144060685	1.079243995816352
MYH9	9.30872582080378	1.0727495202217736
CCNE1	4.15704371014558	0.9072906286796634
SFPQ	8.715721806998285	1.076228708511783
LRP1B	0.0	1.062975692376039
AFF4	5.388878338811989	1.0885140630431895
SIRPA	3.990954860396993	0.6539606348288319
BCL10	4.745775149485796	1.076228708511783
PTEN	3.888499735514123	0.8860266284070896
PRDM1	0.2016338611696504	1.2359325636790357
FGFR4	5.811471030529836	0.9746752499889948
DDR2	1.0772429989324606	1.0725774646843234
PWWP2A	3.8708578643637614	0.9746752499889948
SYK	0.0426443374084937	0.8846520850332174
BLM	3.761285273361619	1.0779677263550025
KIAA1549	2.885574364371426	1.079243995816352
ARNT	5.3746917520969255	1.076228708511783
CNOT3	6.005624549193878	0.9072906286796634
RSPO2	0.01435529297707	1.0667140814079117
SETD1B	3.286881147788161	0.8919464380454625
TTL	6.051154549878513	1.078494117125612
NCOR1	6.693765712217783	1.2065567773442212
ZMYM3	4.670160514126633	0.650241986456547
BUB1B	6.898208352508718	0.8953906750826609
DNAJB1	6.463360885816658	0.9072906286796634
RABEP1	6.2539892662307865	1.2065567773442212
POU2AF1	0.2750070474998698	0.8634475368420382
CDH17	0.0426443374084937	1.0667140814079117
CANT1	6.451870478864323	0.940428096299813
NTHL1	5.800899899920305	1.0761093715660588
HIP1	4.980939266085512	1.0921453395365754
S100A7	0.0	1.076228708511783
CDK4	8.285355977895534	0.8919464380454625
SDHD	6.661065479806948	0.8634475368420382
CDK6	4.809414444235898	1.079243995816352
CUX1	5.215678596607928	1.079243995816352
CYP2C8	0.0426443374084937	0.8860266284070896
MEN1	6.012568673503056	1.080176039575489
NR4A3	0.5260688116675876	0.8846520850332174
CACNA1D	0.0426443374084937	0.9326175095648256
ARHGEF10L	3.3673710656485296	1.076228708511783
FEN1	6.854120356087815	1.080176039575489
NPM1	10.320010742012013	0.9746752499889948
CHD4	7.288081662213752	0.8919464380454625
TMEM127	5.187055089968057	1.078494117125612
CDKN2A	1.0	1.082529890179088
RAF1	6.726013748860151	0.9326175095648256
ABL2	5.004051884507083	1.0725774646843234
ROS1	0.01435529297707	1.2359325636790357
MAP3K13	5.765534746362977	1.295576549891408
ACVR2A	2.8659188145522125	1.062975692376039
SPEN	6.478324711485028	1.076228708511783
ERC1	4.666188489872781	0.8919464380454625
FAT1	6.416839741912829	0.8774639327913532
BTG1	3.674686619927999	0.8919464380454625
CTNNB1	7.750137499129095	0.9326175095648256
CDKN1A	6.849373822667431	0.8825412305965294
NAB2	3.614709844115208	0.8919464380454625
FLI1	0.0426443374084937	0.8634475368420382
MALT1	6.135452784185173	0.8899790538218186
RPN1	7.760753208062987	0.9326175095648256
PRF1	0.1243281350022017	1.2678082999871318
MN1	1.8439838440483265	1.074607644554611
HLA-A	9.422001673173352	1.0723618969557365
PER1	3.8298495598446896	1.2065567773442212
RSPO3	0.0	1.2359325636790357
FNBP1	4.722466024471091	0.8899749104263682
FCGR2B	0.0	1.0725774646843234
SUFU	3.354734239970604	0.8860266284070896
NCOA2	3.687060688339893	0.861239673740338
HNRNPA2B1	10.138143782510229	1.073944980012242
HRAS	6.17951105027151	1.06454001746506
MLLT10	5.076388068512841	0.8912655613894835
PTPRB	1.8519988371124465	0.8919464380454625
KDR	0.0	0.8837759734217541
TMPRSS2	0.0285691521967709	0.8720499228278542
AXIN1	5.509379148914689	1.0761093715660588
POLQ	3.300123724569014	0.9326175095648256
FOXO1	1.3103401206121503	0.6498067099397717
PTK6	0.9927684307689242	1.1032881586268024
KDM6A	4.2539892662307865	0.650241986456547
SRSF2	8.21135296267561	0.940428096299813
MYB	1.3895668117627256	1.2296686973891005
JAK1	7.054631448782967	1.076228708511783
MLF1	6.335211681705785	1.139787534184846
MYCL	2.9653225483672547	1.076228708511783
CREB3L2	3.5360529002402097	1.079243995816352
PTCH1	4.22573765346606	0.8846520850332174
CASP9	4.072963271555224	1.076228708511783
ETNK1	5.234961094839504	0.8919464380454625
NOTCH2	5.684257705058931	1.076228708511783
HOXA13	0.8155754288625725	1.073944980012242
PLCG1	6.338959175415203	1.1032881586268024
SMARCB1	7.341985747228616	1.074607644554611
NCOA1	3.512226886513957	0.8885899571941669
XPC	5.326249700837456	0.9326175095648256
PPFIBP1	5.4239142676731	0.8919464380454625
IGF2BP2	7.26463025566923	1.295576549891408
RNF43	1.752748591407134	1.0873167294171062
BCORL1	3.760220946466509	0.650241986456547
CIITA	0.5459683691052926	1.0761093715660588
CXCR4	2.1210154009613658	1.062975692376039
CAMTA1	6.980825052014211	1.0781856311725375
ASXL1	6.595891493782196	1.1032881586268024
TP53	5.565597175854225	1.2065567773442212
SS18	5.998421188729135	0.8899790538218186
B2M	10.605109073832931	0.8953906750826609
ESR1	0.0	1.2296686973891005
RECQL4	6.364747506022288	1.0667140814079117
TPR	6.25001411501037	1.2390631137748875
PICALM	6.983563697223322	1.0776130364623286
JUN	6.735115955967403	1.076228708511783
NOTCH1	4.03121873061072	0.8756985667768659
MGMT	4.874796965898665	0.8860266284070896
SMARCA4	7.026578770127714	0.9072906286796634
RMI2	5.0	1.0761093715660588
NUTM2A	0.7990873060740036	0.8860266284070896
BTK	0.01435529297707	0.650241986456547
AFF1	4.340562269026414	0.8774639327913532
ACSL6	0.0426443374084937	1.0885140630431895
RPL10	10.713644269463677	0.7655710534749189
PMS1	4.342696959981934	1.062975692376039
MAP2K4	5.3739961421312366	1.2065567773442212
STRN	3.761285273361619	0.8885899571941669
BCOR	3.880685525261125	0.650241986456547
EBF1	0.0565835283663675	0.9746752499889948
MAX	6.541638734436141	1.0861440825870718
FANCF	0.903038270112912	1.0824591665372056
TNC	4.043519493662743	0.8899749104263682
CRTC1	2.713695814843359	0.9072906286796634
CHST11	4.729008870337863	0.8919464380454625
VAV1	5.091276694365222	0.9072906286796634
FOXR1	0.0	0.8634475368420382
ATM	3.90977310414164	0.8634475368420382
DNM2	6.678776174123884	0.9072906286796634
NUTM1	0.0426443374084937	0.8953906750826609
CSMD3	0.01435529297707	1.0667140814079117
PPM1D	4.544732655932624	1.0873167294171062
ATF1	4.472487771462744	0.8919464380454625
BRCA1	4.838447592548459	1.0873167294171062
HERPUD1	5.76128527336162	1.0956245490193437
STAG2	5.170726276131552	0.650241986456547
CLP1	5.100977647724821	1.080176039575489
RHOH	0.0	0.8837759734217541
AMER1	1.7990873060740036	0.650241986456547
NDRG1	5.698774108903683	1.0667140814079117
PDGFB	4.081510068120917	1.0727495202217736
CASP3	4.330558400030802	0.8774639327913532
TSC2	5.979110755015785	1.0761093715660588
KDSR	4.656496370553495	0.8899790538218186
PTPN11	7.138937308958628	0.8919464380454625
SFRP4	0.0426443374084937	1.073944980012242
EZH2	5.762880292916999	1.079243995816352
FAT4	0.0285691521967709	0.8774639327913532
WT1	0.0	1.0824591665372056
ELK4	4.569855608330948	1.2390631137748875
NUP98	6.094869432718697	1.06454001746506
EIF4A2	8.879307549059492	1.295576549891408
ACSL3	4.95093492831454	0.8840109771844922
MPL	0.2986583155645151	1.076228708511783
BIRC6	4.684257705058931	0.8885899571941669
YWHAE	10.438999718732484	1.2090399816187034
EXT2	5.883132015657282	1.0824591665372056
PAX5	0.0285691521967709	1.082529890179088
FEV	0.0	0.8840109771844922
DDB2	6.9481335778404	1.0824591665372056
KAT7	4.161081482277184	1.0873167294171062
NTRK1	0.7824085649273732	1.076228708511783
CCDC6	5.106850796450224	1.2678082999871318
PIK3R1	3.907852071845964	1.0934976637307856
ARHGAP26	4.7414669864011465	1.0885140630431895
GNAQ	4.009884588931844	0.8846520850332174
TCL1A	0.2141248053528473	1.0962892346714694
NFE2L2	6.100977647724821	1.062975692376039
TGFBR2	5.261530815243406	0.9326175095648256
FSTL3	6.552131108253784	0.9072906286796634
GPHN	4.336283387864432	1.0861440825870718
IL6ST	5.79051141189419	1.0934976637307856
TPM4	8.839109285326675	0.9072906286796634
TNFRSF17	0.070389327891398	1.0761093715660588
TFRC	7.760354030276473	1.295576549891408
GNA11	5.507794640198696	0.9072906286796634
